year,period,state,region,nss_round,category,sub_category,source_of_water,type_of_filtering,value,unit,note
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Number of Households treating Drinking Water,,Tank/ Pond,,705,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Number of Households treating Drinking Water,,Other Surface Water,,638,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Number of Households treating Drinking Water,,Others,,545,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Number of Households treating Drinking Water,,All (including not reported),,393,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Unprotected Well,Electronic Purification,9,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Bottled Water,Electronic Purification,42,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Piped water into Dwelling,Electronic Purification,72,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Piped to Yard/Dwelling,Electronic Purification,25,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Public Tap/Stand,Electronic Purification,7,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Tube Well/Borehole,Electronic Purification,47,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Protected Well,Electronic Purification,7,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,All (including not reported),Boiling,194,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Others,Boiling,147,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Total Number of Households treating Drinking Water by Type of Treatment,Sample,,Boiling,11643,value in absolute number,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Tube Well/Borehole,Chemical treatment with Bleach/Chlorine Tablet,12,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Protected Spring,Chemical treatment with Bleach/Chlorine Tablet,12,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Unprotected Spring,Chemical treatment with Bleach/Chlorine Tablet,2,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Rainwater Collection,Chemical treatment with Bleach/Chlorine Tablet,0,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Tank/ Pond,Chemical treatment with Bleach/Chlorine Tablet,0,value in absolute number per thousand,
